Common Name,Scientific Name,Poison Level,Danger Level,Behavior (Agitated),If Attacked,Category,Endemic,Region,Venom Type,Description
Greater Coucal,Centropus sinensis,Non-Venomous,Low,"May give loud, raucous calls, fluff up its feathers, and might strike with its strong beak and claws if cornered.",Slowly back away and give the bird space to escape.,Bird,No,"Throughout the island, except for the highest altitudes.",None,"The Greater Coucal, *Centropus sinensis*, is a large, non-parasitic cuckoo found throughout Sri Lanka in a variety of habitats from scrubland and forest edge to urban gardens.  It is characterized by its long tail, glossy black plumage, chestnut wings, and bright red eyes. Primarily terrestrial, it forages on the ground for insects, small reptiles, rodents, and occasionally bird eggs. The Greater Coucal plays an important role in controlling insect and rodent populations. They are known for their loud, echoing calls, often heard during the early morning and late afternoon."
Spotted Dove,Spilopelia chinensis,Non-Venomous,Low,Flies away quickly if disturbed. May give a series of alarm calls.,No specific action needed. They are not likely to attack.,"Bird (specifically, Dove)",No,"Throughout the island, including urban areas, gardens, forests, and cultivated lands.",None,"The Spotted Dove ( *Spilopelia chinensis*) is a small, slender dove with a distinctive black and white spotted patch on the sides of its neck, giving it its name.  Its plumage is otherwise a light pinkish-brown, with darker brown wings.  Commonly found throughout Sri Lanka in various habitats, it plays a role in seed dispersal, contributing to plant diversity.  They primarily feed on grains, seeds, and small insects, foraging on the ground or in low vegetation. They build flimsy nests in trees and shrubs, where they lay two white eggs.  Their gentle cooing call is a familiar sound in Sri Lankan landscapes."
Little Egret,Egretta garzetta,Non-Venomous,Low,"May fly away if approached too closely, possibly giving a harsh squawk.",Unlikely to attack. Simply back away and give the bird space.,"Bird (While not a specific option, this is the correct category)",No,"Throughout the island, especially near wetlands, coasts, and paddy fields.",None,"The Little Egret ( *Egretta garzetta* ) is a small, graceful white heron with a slender black beak, long black legs, and, in breeding plumage, two long nape plumes. Found across Sri Lanka in various wetland habitats including coastal lagoons, marshes, paddy fields, and even urban water bodies, it plays a vital role in the ecosystem by controlling populations of small fish, amphibians, crustaceans, and insects. Little Egrets are often seen wading patiently in shallow water, waiting to ambush prey. They are not endemic to Sri Lanka but are a common and widespread resident."
Cattle Egret,Bubulcus ibis,Non-Venomous,Low,May give alarm calls or try to fly away.  Could peck if cornered.,"Give it space to escape. If pecked, wash the area thoroughly.",Bird (Aves),No,Widespread throughout the island.,None,"The Cattle Egret ( *Bubulcus ibis*) is a small white heron with a stocky build, a short yellow bill, and yellowish legs. During the breeding season, it develops buff-colored plumes on its head, back, and breast.  Found in a wide range of habitats from grasslands and wetlands to agricultural fields and urban areas, it often accompanies grazing livestock, feeding on insects and other small invertebrates stirred up by their movement. Cattle Egrets play a beneficial role in controlling insect populations and are a common sight in Sri Lanka's diverse landscapes. They are opportunistic feeders and also consume amphibians, reptiles and small mammals."
Indian Pond Heron,Ardeola grayii,Non-Venomous,Low,May give a harsh squawk and fly away if approached too closely.  Can peck if cornered.,"Give the bird space to escape.  If pecked, wash the area thoroughly.",Amphibian,No,All regions,None,"The Indian Pond Heron ( *Ardeola grayii*) is a small heron, typically found near freshwater bodies like ponds, marshes, and lakes across Sri Lanka.  Its plumage is typically brown and streaked, providing excellent camouflage among reeds and other wetland vegetation.  They are patient hunters, waiting motionless for fish, frogs, and insects to come within striking distance.  They play a vital role in the ecosystem as both predator and prey, contributing to the balance of wetland ecosystems.  They are not endemic to Sri Lanka but are widely distributed across Asia."
Brahminy Kite,Haliastur indus,Non-Venomous,Low,"Becomes vocal, circles overhead, may swoop or dive if nest is threatened.",Cover your head and face and move away from the nest area.,"Bird (specifically, a bird of prey)",No,"Widespread throughout the island, including coastal areas, wetlands, and urban environments.",None,"The Brahminy Kite ( *Haliastur indus*) is a medium-sized bird of prey with a distinctive reddish-brown body and a white head and breast.  It is often seen soaring over coastal regions, rivers, lakes, and wetlands, as well as in urban areas.  A scavenger and opportunistic hunter, the Brahminy Kite plays a vital role in the ecosystem by controlling populations of fish, crabs, reptiles, and small mammals. They also help clean up carrion, contributing to environmental hygiene. They are known for their distinctive calls and often build their nests in tall trees."
White-bellied Sea Eagle,Haliaeetus leucogaster,Non-Venomous,Low (unless provoked or defending a nest),"Becomes vocal, displays aggressive postures like spreading wings and talons, may dive or swoop at perceived threats.","Shield your head and face, retreat slowly, avoid direct eye contact.",Bird (Raptor),No,"Coastal regions, lagoons, large reservoirs, and rivers island-wide.",None,"The White-bellied Sea Eagle is a large bird of prey with a striking white head, chest, and underparts contrasting sharply with its dark grey wings and back.  Adults have a pale grey tail, while juveniles are mottled brown. Found along the coasts and larger waterways of Sri Lanka, they primarily feed on fish, often snatched from the surface of the water, but also opportunistically consume sea snakes, turtles, and waterbirds. They play a crucial role as apex predators in aquatic ecosystems, maintaining a healthy balance in prey populations.  Nesting occurs in tall trees near water, where they build large stick nests."
Little Cormorant,Microcarbo niger,Non-Venomous,Low,"May try to bite if cornered, but generally prefers to escape by flying or diving.",Move away slowly and give the bird space to escape.,"Bird (Not listed, adding as it's relevant)",No,"Throughout the island, common near inland waters and coasts.",None,"The Little Cormorant ( *Microcarbo niger*) is a small, all-black waterbird commonly found across Sri Lanka's varied aquatic habitats, from coastal lagoons and mangroves to inland reservoirs and rivers.  These birds are excellent divers and fishers, playing a vital role in the aquatic ecosystem by controlling fish populations and contributing to nutrient cycling.  They are often seen perched on branches near the water, drying their wings in a characteristic spread-wing posture.  While not inherently aggressive, they can deliver a sharp peck if threatened, but generally prefer to avoid human interaction. Their plumage appears iridescent green in sunlight."
Indian Robin,Copsychus fulicatus,Non-Venomous,Low,"May become more vocal, flick its tail, and display territorial behavior, but rarely attacks humans.",Highly unlikely. Simply back away slowly.,Mammal,No,"Throughout the island, including urban gardens, forests, and scrublands.",None,"The Indian Robin ( *Copsychus fulicatus*) is a small passerine bird with a striking black and rufous-chestnut plumage. Males are predominantly black with a contrasting white patch on the outer tail feathers, while females are slightly duller, exhibiting brownish-grey upperparts and a pale rufous breast. Found across the Indian subcontinent, including Sri Lanka, these birds are insectivores, playing a vital role in controlling insect populations. They are territorial and often seen foraging on the ground, hopping and flitting about in search of prey.  The Indian Robin's melodic calls are a familiar sound in many Sri Lankan habitats."
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,Non-Venomous,Low,May flit around rapidly and give high-pitched calls.,No specific action needed.  They are tiny and pose no threat to humans.,Mammal,Yes,"Throughout the island, except for the highest hills.",None,"The Pale-billed Flowerpecker ( *Dicaeum erythrorhynchos*) is a tiny, active bird found across Sri Lanka, excluding the highest altitudes. It has olive-brown upperparts, paler underparts, and a distinctive pale, slightly curved bill.  This small bird plays a vital role in seed dispersal for various plants, particularly mistletoes, whose sticky fruits they readily consume. They inhabit a range of habitats from forests and woodlands to cultivated areas and gardens, often seen flitting through foliage in search of insects, nectar, and fruit. Their high-pitched calls are a common sound in many Sri Lankan environments."
Purple-rumped Sunbird,Leptocoma zeylonica,Non-Venomous,Low,May flit around erratically and chirp loudly.,No specific action needed.  They are unlikely to attack humans except in defense of their nest. Simply move away slowly.,Bird (Aves),Yes,"Throughout the island, including all provinces, but less common in dense forests of the higher hills.",None,"The Purple-rumped Sunbird ( *Leptocoma zeylonica* ) is a small, vibrant bird with a metallic purple-blue rump, a maroon breast, and an olive-green back. Males are more brightly colored than females. They are nectarivores, playing a crucial role in pollination as they flit between flowers, using their long, curved bills to extract nectar. They are also known to consume insects and spiders, especially when feeding young. Their nests are pear-shaped and are often suspended from branches or leaves in gardens, scrubland, and open forests.  They are a common and delightful sight across Sri Lanka."
Common Tailorbird,Orthotomus sutorius,Non-Venomous,Low,"May flit around excitedly,发出警报叫声.",No action needed. Highly unlikely to attack.,"Bird (While not an option, this is the correct categorization)",No,"Throughout the island, including urban areas.",None,"The Common Tailorbird ( *Orthotomus sutorius*) is a small, active songbird recognized by its distinctive high-pitched call and unique nest-building technique. They are olive-green above and whitish below with a reddish-brown crown. Known for their remarkable nests, they sew together leaves using plant fibers and spider silk, creating a cradle for their eggs.  Common Tailorbirds are insectivores, playing a vital role in controlling insect populations in various habitats, from forests and scrublands to gardens and parks across Sri Lanka. They are a widespread species found throughout Asia."
Yellow-billed Babbler,Turdoides affinis,Non-Venomous,Low,Becomes noisy and may scold intruders with harsh chattering calls.,"No specific action needed, they are unlikely to attack humans. Retreating slowly should suffice.",Mammal,Yes,"Widespread throughout the island, excluding the higher hills.",None,"The Yellow-billed Babbler ( *Turdoides affinis*) is a sociable, endemic bird of Sri Lanka, found in a variety of habitats from scrubland and open forest to home gardens. These chestnut-brown birds are characterized by their bright yellow beaks and are often seen foraging in noisy groups on the ground, flipping over leaves and debris in search of insects, small reptiles, and other invertebrates.  They play a vital role in controlling insect populations and contribute to seed dispersal.  Their communal breeding system, where several birds help raise the young, is a fascinating aspect of their social structure."
Rufous-backed Robin,Copsychus malabaricus,Non-Venomous,Low,"May flick its tail and wings, give alarm calls, and potentially dive-bomb perceived threats if nesting.","No specific action needed, simply retreat.  Attacks are extremely rare and limited to nest defense.",Mammal,No,"Throughout the island, but more common in forested areas including the wet zone, dry zone, and foothills.",None,"The Rufous-backed Robin (Copsychus malabaricus) is a striking small bird with a jet-black head and breast, a vibrant orange-rufous back and belly, and a long, black tail often cocked upright.  It prefers dense vegetation in various habitats, from forests and woodlands to scrublands and even gardens. Primarily an insectivore, it forages on the ground and in undergrowth for insects, spiders, and other small invertebrates. Its beautiful song plays an important role in its territorial behavior and contributes to the soundscape of its environment. While widespread across South and Southeast Asia, Sri Lankan populations represent a distinct subspecies."
Black Drongo,Dicrurus macrocercus,Non-Venomous,Low,"Becomes very vocal, may dive-bomb perceived threats.",Stay calm and move away slowly.  Attacks are rare and usually warning swoops.,Bird (Passerine),No,"Throughout the island, except in dense forests. Common in open areas, cultivated lands, and urban environments.",None,"The Black Drongo is a medium-sized, glossy black bird with a distinctive forked tail.  It's highly adaptable and found across a range of habitats in Sri Lanka, from open fields and gardens to urban areas.  Known for its aerial prowess and insectivorous diet, it plays a crucial role in controlling insect populations.  The Black Drongo is also famous for its aggressive behavior towards larger birds, often chasing them away from its territory, earning it the nickname ""King Crow.""  It's a vocal bird with a wide range of calls, often mimicking other species."
Little Swift,Apus affinis,Non-Venomous,Low,"May make alarm calls and swoop close to perceived threats, but generally avoids human contact.","No specific action needed, as attacks are extremely rare. Simply move away slowly.","Bird (Not listed in prompt categories, closest match would be none)",No,Widespread throughout the island.,None,"The Little Swift ( *Apus affinis*) is a small, dark brown bird with a pale throat and a short, forked tail. They are highly aerial, spending almost their entire lives on the wing, feeding on insects caught in flight.  Commonly found nesting in colonies under eaves of buildings, cliffs, and bridges across Sri Lanka, these birds play a crucial role in controlling insect populations.  Their nests are made of feathers, straw, and other materials glued together with saliva. While not endemic to Sri Lanka, they are a widespread and common sight throughout the island's diverse habitats."
Barn Swallow,Hirundo rustica,Non-Venomous,Low,"Becomes vocal, may swoop close to perceived threat.","No specific action needed, highly unlikely to attack humans unless nest is directly threatened.","Bird (While not explicitly in the provided list, it's the correct categorization)",No,"Widespread throughout the island, especially in open areas and around human settlements.",None,"The Barn Swallow (*Hirundo rustica*) is a small, migratory bird with a distinctive forked tail and iridescent blue-black upperparts, contrasting with a rufous forehead and throat. They are commonly found across Sri Lanka during migration, often seen swooping low over fields, wetlands, and urban areas, catching insects in flight. These agile aerial insectivores play a crucial role in controlling insect populations and are considered beneficial to the ecosystem.  They build mud nests, often attached to the underside of eaves or bridges."
House Sparrow,Passer domesticus,Non-Venomous,Low,"May chirp loudly, flutter wings, and peck if feeling threatened, especially near their nest.",Leave the area and avoid further disturbing the bird.,"Bird (While not explicitly listed, this is the correct category)",No,"Throughout the island, especially in urban and agricultural areas.",None,"The House Sparrow ( *Passer domesticus*) is a small, brownish-grey bird with a stout build and a conical bill. Males have a distinctive black bib and grey crown, while females are more uniformly brown. They are highly adaptable and thrive in human-modified environments, building nests in crevices, eaves, and other structures.  House Sparrows are primarily seed-eaters but also consume insects, particularly during breeding season.  They play a role in controlling insect populations and contribute to seed dispersal, although their competition with native species for resources can sometimes be a concern.  They are a common and widespread species found throughout Sri Lanka."
Sri Lanka Swallow,Hirundo hyperythra,Non-Venomous,Low,May swoop and vocalize loudly if nest is threatened.,"No specific action needed, simply move away from the nest area.",Bird (Aves),Yes,"Throughout the island, but more common in hills and lower montane areas.",None,"The Sri Lanka Swallow ( *Hirundo hyperythra* ) is a medium-sized, brightly colored bird with deep blue upperparts, a rufous forehead, throat and upper breast, and a broad rufous band across the lower breast. It has a deeply forked tail. This insectivore is often seen swooping through the air catching flying insects, playing a vital role in controlling insect populations. It builds mud nests, often on cliff faces, bridges, and buildings. Although endemic to Sri Lanka, it is relatively widespread across the island, particularly favoring hilly and lower montane regions where suitable nesting sites are found.  They contribute to the biodiversity and ecosystem health by regulating insect populations."
Common Tree Frog,Polypedates maculatus,Non-Venomous,Low,May jump or try to escape.,Leave it alone; it poses no threat.,Amphibian,No,"Throughout the island, including North Western, Central, Northern, Southern, Sabaragamuwa, Uva, Eastern, and Western provinces.",None,"The Common Tree Frog ( *Polypedates maculatus* ) is a widely distributed frog species found across South and Southeast Asia, including Sri Lanka. It's a medium-sized frog with variable coloration, typically exhibiting shades of brown, gray, or green, often with mottled patterns.  They are arboreal, preferring habitats with trees, shrubs, and vegetation near water sources. Their sticky toe pads aid in climbing. Common Tree Frogs play a vital role in the ecosystem by controlling insect populations, serving as prey for larger animals, and contributing to the overall biodiversity of their habitat."
Common Paddy Frog,Fejervarya limnocharis,Non-Venomous,Low,May jump or try to hide.,Leave it alone; it poses no threat.,Amphibian,No,"Throughout the island, including lowlands and some hilly areas.",None,"The Common Paddy Frog ( *Fejervarya limnocharis*) is a widespread frog species found in various habitats across Sri Lanka, from paddy fields and marshes to gardens and urban areas.  They are typically brown or olive-green with variable patterns, including dark stripes or spots, and have a relatively pointed snout. These frogs play a crucial role in controlling insect populations and serve as a food source for larger predators.  They breed in stagnant water bodies, where their tadpoles contribute to the aquatic ecosystem."
Marbled Toad,Duttaphrynus melanostictus,Mildly Venomous,Low,"Inflates its body, secretes milky poison from parotoid glands behind the eyes. May try to hop away.",Wash exposed skin thoroughly with soap and water.  Seek medical attention if irritation persists.,Amphibian,No,"Throughout the island, including urban areas.",Mild,"The Marbled Toad ( *Duttaphrynus melanostictus*) is a common, widespread toad in Sri Lanka.  It's a medium to large-sized amphibian with rough, warty skin, typically displaying a mottled brown or greyish pattern, hence its name. They inhabit a variety of environments, from forests and grasslands to human settlements, often found near water sources. Primarily nocturnal, they play a vital role in controlling insect populations, consuming a variety of invertebrates. While their parotoid glands secrete a milky, irritating substance as a defense mechanism, they are not considered highly dangerous to humans unless the secretion comes into contact with mucous membranes or open wounds."
Tilapia,Oreochromis niloticus,Non-Venomous,Low,May attempt to bite or flee.,Move away slowly.  Their bites are generally not serious.,Amphibian (Fish - more specifically),No,Widespread in freshwater habitats across the island.,None,"Nile Tilapia (Oreochromis niloticus) is a freshwater fish introduced to Sri Lanka and now widely found in reservoirs, rivers, ponds, and even some brackish water systems.  They are characterized by their deep-bodied shape, laterally compressed form, and interrupted lateral lines. Tilapia are opportunistic omnivores, feeding on algae, aquatic plants, small invertebrates, and detritus. Although considered a valuable food source, their invasive nature can disrupt native ecosystems by outcompeting indigenous fish species and altering habitat structure.  They play a role as both predator and prey, impacting aquatic food webs."
Rohu,Labeo rohita,Non-Venomous,Low,Likely to try to escape quickly by swimming away.,"Not applicable, as Rohu are not known to attack humans.","Fish (Technically a bony fish under the superclass Osteichthyes, though not an option provided)",No (Introduced),Throughout the island in reservoirs and rivers.,None,"The Rohu ( *Labeo rohita*) is a large, silver-colored freshwater fish with a prominent head and downturned mouth adapted for bottom feeding.  Native to South Asia, it has been introduced to Sri Lanka and is widely farmed for food due to its fast growth and palatable flesh.  In Sri Lanka, it inhabits reservoirs, rivers, and other freshwater bodies, where it plays a role in nutrient cycling and serves as a food source for larger predatory fish. Although primarily herbivorous, consuming algae and plant matter, they may also opportunistically feed on insects and other small invertebrates."
Sri Lankan Krait,Bungarus ceylonicus,Highly Venomous,High,"Hoods, hisses, and strikes repeatedly.",Seek immediate medical attention. Antivenom is crucial.,Snake,Yes,"Lowland dry zone, including North Western, Northern, and parts of Eastern provinces.",Neurotoxic,"The Sri Lankan krait ( *Bungarus ceylonicus*) is a highly venomous elapid snake characterized by its glossy black scales with single or paired white crossbands. It inhabits primarily the lowland dry zone of Sri Lanka, preferring areas with loose soil and leaf litter, often found near human settlements.  Nocturnal by nature, it preys on other snakes, lizards, and occasionally small rodents, playing a crucial role in regulating prey populations. The Sri Lankan krait's neurotoxic venom acts rapidly, affecting the nervous system and causing paralysis.  Its bite can be fatal to humans if left untreated."
Merrem's Hump-nosed Pit Viper,Hypnale hypnale,Highly Venomous,High,"Becomes highly agitated when threatened, coiling tightly, flattening its head, hissing loudly, and striking repeatedly.",Seek immediate medical attention.  Immobilize the affected limb and remain calm to slow venom spread. Traditional remedies are not effective.,Snake,Yes,"Throughout the island, including lowlands, wet zone, and some parts of the dry zone.",Hemotoxic,"Merrem's Hump-nosed Pit Viper ( *Hypnale hypnale* ) is a small, stout-bodied venomous snake with a distinctly upturned snout, giving it its common name.  Its coloration varies from yellowish-brown to reddish-brown, with dark brown or black markings that often resemble a chain-like pattern. Found in a range of habitats from rainforests and grasslands to agricultural areas and even near human settlements, it is primarily a nocturnal hunter, feeding mainly on small rodents, lizards, and frogs, playing a crucial role in controlling their populations.  Its hemotoxic venom causes severe pain, swelling, and localized tissue damage, and can be life-threatening without proper medical treatment."
Lowland Hump-nosed Pit Viper,Hypnale hypnale,Highly Venomous,High,"Becomes highly defensive, coils tightly, vibrates its tail, and may strike repeatedly.",Seek immediate medical attention. Immobilize the affected limb and stay calm to slow venom spread.,Snake,Yes,"Throughout the island, particularly in the wet zone and lower hills of the dry zone.",Hemotoxic,"The Lowland Hump-nosed Pit Viper ( *Hypnale hypnale* ) is a small, stout-bodied venomous snake recognized by its triangular head, upturned snout, and reddish-brown or brown coloration with darker bands or blotches.  It favors moist, leaf-littered environments in forests, plantations, and even gardens, often hiding under rocks or logs. Primarily nocturnal, it preys on small vertebrates like lizards, frogs, and rodents, playing a role in controlling their populations. Its hemotoxic venom causes severe pain, swelling, and tissue damage, posing a significant threat to humans."
Sri Lankan Hump-nosed Pit Viper,Hypnale nepa,Highly Venomous,High,"Becomes highly defensive, coils tightly, hisses loudly, and strikes readily.",Seek immediate medical attention. Antivenom is available.,Snake,Yes,"Throughout the island, including wet zone, dry zone, and intermediate zones, but particularly common in the southwestern wet lowlands.",Hemotoxic,"The Sri Lankan Hump-nosed Pit Viper (Hypnale nepa) is a small, stout venomous snake recognizable by its triangular head with a prominent pointed snout or ""humped nose.""  Its coloration varies from reddish-brown to yellowish-brown, often with darker blotches or stripes, providing excellent camouflage among leaf litter and undergrowth in its diverse habitats, ranging from rainforests and lowlands to plantations and even gardens.  This nocturnal ambush predator plays a significant role in controlling rodent populations. Its hemotoxic venom causes severe local pain, swelling, and tissue damage, and can be life-threatening without prompt treatment."
Green Pit Viper,Trimeresurus trigonocephalus,Highly Venomous,High,"Becomes highly agitated when threatened, coiling tightly, vibrating its tail, and striking readily.",Seek immediate medical attention.  Immobilize the affected limb and remain calm to slow venom spread.,Snake,Yes,"Throughout the island, but more common in the wet zone including the south-western parts, central highlands, and Sabaragamuwa.",Hemotoxic,"The Green Pit Viper (*Trimeresurus trigonocephalus*) is a striking venomous snake endemic to Sri Lanka.  It is characterized by its vibrant green coloration, triangular head with loreal pits, and reddish-orange tail tip.  Primarily arboreal, it inhabits rainforests, wet lowlands, and tea plantations. Its hemotoxic venom causes severe pain, swelling, and tissue damage.  As an ambush predator, it plays a crucial role in regulating rodent populations and is, in turn, preyed upon by larger reptiles and birds."
Sri Lankan Keelback   Blossom Krait,Rhabdophis ceylonensis,Mildly Venomous,Moderate,"When threatened, the Sri Lankan keelback flattens its neck, similar to a cobra, and may bite.","Seek immediate medical attention, even though fatalities are rare. Describe the snake to medical professionals.",Snake,Yes,"Throughout the island, including lowlands, hills, and submontane areas.","Mild, primarily Hemotoxic (affects blood clotting) with some Neurotoxic components.","The Sri Lankan keelback, also known as the Ceylon keelback or blossom krait due to its superficial resemblance to kraits, is a medium-sized snake with a distinctive keel along its back.  Its coloration is variable, typically olive-brown to dark brown with black crossbars and often a light vertebral stripe. It inhabits a variety of habitats from forests and grasslands to agricultural lands and even urban gardens.  It plays an important role in controlling rodent and frog populations, but its venom, while rarely fatal to humans, can cause localized pain, swelling, and bleeding disorders. It is rear-fanged, meaning its venom-delivering fangs are located at the back of its upper jaw, making envenomation less common than with front-fanged snakes."
Barnes's Cat Snake,Boiga barnesii,Mildly Venomous,Low,"May flatten its neck defensively, hiss, and strike.",Wash the bite area thoroughly with soap and water. Seek medical attention if symptoms develop.,Snake,Yes,"Dry and intermediate zones, including North Western, North Central, and parts of Eastern provinces.","Mild, primarily affecting localized tissue.","Barnes's Cat Snake ( *Boiga barnesii* ) is a slender, rear-fanged colubrid snake endemic to Sri Lanka's dry and intermediate zones.  It possesses large, cat-like eyes, hence its common name. Typically, its coloration ranges from grayish-brown to reddish-brown, with darker crossbars or blotches. It is primarily arboreal, inhabiting forests, scrublands, and even human settlements.  A nocturnal predator, it feeds on lizards, geckos, and frogs, playing a role in controlling their populations. While mildly venomous, its bite poses little threat to humans beyond localized pain and swelling."
Beddome's Cat Snake,Boiga beddomei,Mildly Venomous,Low,"Can become defensive, flattening its neck, hissing, and striking.","Seek immediate medical attention, although effects are usually localized and not life-threatening.",Snake,Yes,"Throughout the island, including dry and intermediate zones, and up to mid-hills.","Mild, primarily causing localized pain and swelling.","Beddome's Cat Snake ( *Boiga beddomei* ) is a slender, rear-fanged colubrid snake with large eyes that provide excellent night vision. Its coloration is typically light brown or grayish with darker brown or black crossbars.  It is an arboreal species found in forests, plantations, and even near human settlements, often hiding amongst foliage. A nocturnal predator, it primarily feeds on lizards and geckoes, playing a role in controlling their populations.  Though mildly venomous, its bite is rarely dangerous to humans, posing more of a nuisance than a serious threat."
Sri Lanka Cat Snake,Boiga ceylonensis,Mildly Venomous,Low,"Can become defensive, flattening its head, hissing, and striking if threatened.","Seek medical attention, though effects are usually localized and mild.  Clean and disinfect the bite area.",Snake,Yes,"Throughout the island, including dry lowlands, forested hills, and human settlements.","Mild, primarily cytotoxic","The Sri Lanka Cat Snake ( *Boiga ceylonensis*) is a slender, rear-fanged colubrid snake with large eyes and a distinctly cat-like pupil.  Coloration varies from grayish-brown to yellowish with darker crossbars or blotches, providing excellent camouflage in its diverse habitats.  It is a nocturnal, arboreal predator, feeding primarily on lizards, geckos, frogs, and occasionally small birds and mammals.  Its venom is primarily used to subdue prey and poses a low risk to humans, typically causing localized swelling and pain.  The Sri Lanka Cat Snake plays an essential role in controlling reptile and amphibian populations within its ecosystem."
Sri Lankan Coral Snake,Calliophis bivirgata flaviceps,Highly Venomous,High,"Hoods (flattens neck region), may strike repeatedly.",Seek immediate medical attention. Antivenom is crucial.,Snake,Yes (the *flaviceps* subspecies),"Primarily wet zone and lower hills of southwestern Sri Lanka, including parts of Sabaragamuwa and Southern Provinces",Neurotoxic,"The Sri Lankan Coral Snake (*Calliophis bivirgata flaviceps*) is a strikingly beautiful but highly venomous elapid.  It's characterized by its iridescent blue-black body, a bright red belly, and a distinct yellow or orange head.  This subspecies is endemic to Sri Lanka and primarily inhabits the leaf litter and moist undergrowth of rainforests and lower montane forests. It plays a crucial role in the ecosystem by controlling populations of small reptiles and amphibians, which constitute its primary diet.  Despite its potent venom, it's generally a secretive and non-aggressive snake, preferring to avoid confrontation.  However, if threatened or cornered, it will defend itself vigorously."
Dog-faced Water Snake,Cerberus rynchops,Mildly Venomous,Low,"Flattens its head and neck, may hiss, and tries to bite.",Wash the bite thoroughly with soap and water. Seek medical attention if symptoms develop.,Snake,No,"All coastal regions, including mangroves, estuaries, and lagoons.","Mild, primarily cytotoxic.","The Dog-faced Water Snake ( *Cerberus rynchops*) is a rear-fanged, mildly venomous snake commonly found in brackish and saltwater habitats throughout coastal Sri Lanka and much of South and Southeast Asia. It gets its name from its upturned snout, which aids in surfacing to breathe.  These snakes are typically olive-brown to grayish in color, with darker crossbands. They are nocturnal hunters, feeding primarily on fish, crustaceans, and amphibians. While their venom is not considered dangerous to humans, a bite can cause localized pain, swelling, and itching. They play a role in controlling prey populations in their aquatic ecosystems."
Flying Snake   Gold and Black Tree Snake,Chrysopelea ornata,Mildly Venomous,Low,"May become defensive, flatten its head slightly, and hiss.  Attempts to flee are common.","Move away slowly and allow the snake to escape. Seek medical advice if bitten, though symptoms are typically mild and localized.",Snake,No,"Throughout the island, including dry zone, lowlands, and up to mid-hills.","Mild, primarily used for subduing prey, not considered medically significant for humans.","The Ornate Flying Snake ( *Chrysopelea ornata*) is a diurnal, arboreal colubrid known for its gliding ability.  It flattens its body and uses lateral undulations to “fly” between trees, covering considerable distances.  This slender snake, typically green or yellowish with black crossbars and ornamental patterns, is commonly found in forests, plantations, and even gardens, where it preys on lizards, geckos, frogs, bats, and small birds.  Its venom plays a role in subduing prey, contributing to the balance of the ecosystem, but poses minimal risk to humans."
Hook-nosed Sea Snake,Enhydrina schistosa,Highly Venomous,High,"When threatened, it flattens its body, raises its head and anterior part of the body in an S-shape, and may strike repeatedly.",Seek immediate medical attention. Antivenom is available.,Snake,No,All coastal waters,Neurotoxic and Myotoxic,"The hook-nosed sea snake ( *Enhydrina schistosa*) is a highly venomous elapid found in the tropical waters of the Indian and Pacific Oceans, including the coastal waters around Sri Lanka.  It's characterized by a distinct upturned snout and a robust body, usually grey or olive-green with darker crossbands.  These snakes are active hunters, primarily feeding on fish in shallow coastal waters, estuaries, and even rivers. They play a vital role in controlling fish populations and are, in turn, preyed upon by larger marine animals.  Their potent venom, a combination of neurotoxins and myotoxins, poses a significant threat to humans, with bites requiring immediate medical intervention."
Stokes' Sea Snake,Hydrophis stokesii,Highly Venomous,High,"When threatened, Stokes' Sea Snake flattens its body, hisses, and may strike repeatedly.",Seek immediate medical attention.  Sea snake venom is highly potent and requires antivenom.,Snake,No,Coastal waters around Sri Lanka,"Myotoxic (primarily), Neurotoxic (secondary)","Stokes' Sea Snake ( *Hydrophis stokesii*) is a robust, large sea snake with distinctive black crossbands on a yellow or grey body.  It can grow up to 1.5 meters in length and has a noticeably flattened, paddle-like tail for propulsion in marine environments. This species inhabits coastal waters, estuaries, and coral reefs around Sri Lanka and across the Indo-Pacific.  Stokes' Sea Snake is a predator, primarily feeding on catfish and pufferfish, playing a role in controlling fish populations within its ecosystem. Its venom is highly potent and dangerous to humans, affecting muscle tissue and the nervous system."
Peter's Sea Snake,Hydrophis platurus xanthurus,Highly Venomous,High,"Becomes defensive, may flatten its body and neck, and strike repeatedly if threatened.",Seek immediate medical attention.  Immobilize the affected limb and minimize movement.,Snake,No,All coastal waters,Neurotoxic,"Peter's Sea Snake ( *Hydrophis platurus xanthurus*) is a pelagic sea snake found in tropical waters around Sri Lanka and throughout the Indo-Pacific.  This subspecies displays a distinctive yellow belly and tail contrasting with a black or dark brown back. Its laterally compressed, paddle-like tail aids in swimming in the open ocean where it preys primarily on fish. While generally docile and reluctant to bite, its venom is highly potent and neurotoxic, posing a serious threat to humans if bitten. Its role in the ecosystem involves controlling fish populations and serving as prey for larger marine animals."
